CITY_NAME:lat=LATITUDE,lon=LONGITUDE
Nicosia:lat=35.16506958,lon=33.38516235
Kigali:lat=-2.117935181,lon=29.9914856
Ljubljana:lat=46.06830215,lon=14.6396122
Maseru:lat=-29.25671005,lon=27.89038849
Luxembourg:lat=49.74040604,lon=6.273255825
The Hague:lat=51.90362167,lon=4.300624371
Bratislava:lat=48.27450943,lon=17.26980591
Saskatoon:lat=52.11000061,lon=-106.6299973
Regina:lat=50.40999985,lon=-104.6500015
El Paso:lat=31.78000069,lon=-106.4499969
Jacksonville:lat=30.32999992,lon=-81.66000366
Moosonee:lat=51.33000183,lon=-80.73000336
Schefferville:lat=54.86000061,lon=-67.01000214
Goose Bay:lat=53.31000137,lon=-60.54999924
Porto Velho:lat=-8.75,lon=-63.90000153
Cuzco:lat=-13.60000038,lon=-71.86000061
Cuiaba:lat=-15.55000019,lon=-56.04999924
Resistencia:lat=-27.39999962,lon=-58.90000153
Tombouctoo:lat=16.76000023,lon=-3.00999999
Maiduguri:lat=11.88000011,lon=13.26000023
Matadi:lat=-5.809999943,lon=13.44999981
Huambo:lat=-12.72999954,lon=15.77999973
Kimberley:lat=-28.65999985,lon=24.82999992
East London:lat=-33.02999878,lon=27.89999962
Kahemba:lat=-7.329999924,lon=19
Dodoma:lat=-6.179999828,lon=35.75
Narvik:lat=68.34999847,lon=17.29999924
Herat:lat=34.45999908,lon=62.20999908
Druzba:lat=55.88000107,lon=37.75
Kashi:lat=39.47999954,lon=76
Chingmei:lat=24.97999954,lon=121.5299988
Hue:lat=16.45999908,lon=107.6999969
Kuching:lat=1.5,lon=110.4300003
Balikpapan:lat=-1.210000038,lon=116.8600006
Chatanga:lat=50.33000183,lon=110.75
Chita:lat=52.04999924,lon=113.5800018
Verkhoyvensk:lat=67.58000183,lon=133.4100037
Yakutsk:lat=62.00999832,lon=129.8300018
Okhotsk:lat=59.33000183,lon=143.25
Nikolayevsk:lat=50.08000183,lon=45.52999878
Yuzhno-Sakhalinsk:lat=46.95999908,lon=142.75
Alice Springs:lat=-23.62999916,lon=133.9299927
Cairns:lat=-16.85000038,lon=145.7100067
Townsville:lat=-19.29999924,lon=146.8300018
Rockhampton:lat=-23.43000031,lon=150.4799957
Newcastle:lat=-33,lon=151.9100037
Hobart:lat=-43,lon=147.5
Dunedin:lat=-45.86000061,lon=170.5
Victoria:lat=48.65456772,lon=-123.5691071
Porto Novo:lat=6.601096153,lon=2.632502794
Douala:lat=4.136650085,lon=9.706374168
Vjuag Padang:lat=-5.190430164,lon=119.7227936
